No,공원명,위도,경도,경도,지번주소,도로명주소
54,버들공원,37.5957395,126.6366222,,인천광역시 서구 오류동 1775,인천광역시 서구 봉화로 29
55,불로5호소공원,37.6144637,126.6884918,,인천광역시 서구 불로동 831,인천광역시 서구 검단로744번1길 50
56,대촌공원,37.5953857,126.6336177,,인천광역시 서구 오류동 1722-11,인천광역시 서구 단봉로153번길 29
57,소염도공원,37.4862675,126.6664339,,인천광역시 서구 가좌동 585-55,인천광역시 서구 염곡로14번길 23
58,당하지구2호 어린이공원,37.5948943,126.6776419,,인천광역시 서구 마전동 1062-1,인천광역시 서구 원당대로685번3길 4
59,당하지구3호 어린이공원,37.5907968,126.6786075,,인천광역시 서구 당하동 1099-4,인천광역시 서구 청마로148번길 15
60,당하지구4호 어린이공원,37.589173,126.6779557,,인천광역시 서구 당하동 1112-1,인천광역시 서구 청마로134번길 10-5
61,당하지구5호 어린이공원,37.5930198,126.6734308,,인천광역시 서구 당하동 1077-10,인천광역시 서구 원당대로 650
62,당하지구6호 어린이공원,37.5911071,126.6700029,,인천광역시 서구 당하동 1075-21,인천광역시 서구 청마로 38
63,당하지구7호 어린이공원,37.5889434,126.6710222,,인천광역시 서구 당하동 1087-1,인천광역시 서구 청마로 58
64,마전지구2호 어린이공원,37.6111548,126.6653734,,인천광역시 서구 마전동 198-1,인천광역시 서구 검단로623번길 48-1
65,마전지구3호 어린이공원,37.611397,126.662364,,인천광역시 서구 마전동 127-2,인천광역시 서구 가현로 87
66,마전지구4호 어린이공원,37.6132753,126.6607064,,인천광역시 서구 마전동 100-9,인천광역시 서구 마전로5번길 25
67,마전지구5호 어린이공원,37.613458,126.6580456,,인천광역시 서구 마전동 산 74-1,인천광역시 서구 가현로 41
68,마전지구6호 어린이공원,37.6140487,126.6552669,,인천광역시 서구 마전동 75-1,인천광역시 서구 가현로 6-6
69,밭고잔공원,37.5967247,126.6266651,,인천광역시 서구 오류동 1751-6,인천광역시 서구 검단로 167-16
70,봉화공원,37.5986898,126.6369593,,인천광역시 서구 오류동 1766,인천광역시 서구 봉화로85번길 35
71,신석체육공원,37.5075811,126.6653466,,인천광역시 서구 석남동 222,인천광역시 서구 길주로 39
72,원당지구 5호 어린이공원,37.5903037,126.7011863,,인천광역시 서구 당하동 1041,인천광역시 서구 고산후로78번길 26
73,진주체육공원,37.4913746,126.6809571,,인천광역시 서구 가좌동 30-130,인천광역시 서구 원적로 46
74,당하어린이공원,37.5842079,126.6791439,,인천광역시 서구 당하동 1067-4,인천광역시 서구 독정로 32
75,감중공원,37.4928388,126.6738439,,인천광역시 서구 가좌동 157,인천광역시 서구 가정로98번길 18
76,청라1호공원,37.5316546,126.6033661,,인천광역시 서구 청라동 11-29,인천광역시 서구 로봇랜드로249번길 114-9
77,경서근린공원,37.5566388,126.6687691,,인천광역시 서구 경서동 996,인천광역시 서구 도요지로 179
78,반월공원(나),37.5944608,126.6169703,,인천광역시 서구 오류동 1656-4,인천광역시 서구 보듬8로 30
79,한들방죽공원(라),37.5904312,126.621691,,인천광역시 서구 오류동 1665-2,인천광역시 서구 원당대로205번길 34
80,백석공원(마),37.5898361,126.621691,,인천광역시 서구 오류동 1693-1,인천광역시 서구 도담8로 12
81,검암소공원,37.5597432,126.6753942,,인천광역시 서구 검암동 636-6,인천광역시 서구 승학로506번길 65-59
82,경서1공원(아라뱃길 물류단지),37.5616568,126.618762,,인천광역시 서구 오류동 1579-1,인천광역시 서구 정서진5로 37
83,경서2공원(아라뱃길 물류단지),37.5662322,126.6102433,,인천광역시 서구 오류동 1545-4,인천광역시 서구 갑문4로 46
84,불로4호소공원,37.5249078,126.6306565,,인천광역시 서구 청라동 105-68,인천광역시 서구 푸른로7번길 10
85,쑥공원(경서3호),37.5567579,126.6535449,,인천광역시 서구 경서동 745,인천광역시 서구 경서로 53
86,중동공원,37.5648375,126.677202,,인천광역시 서구 검암동 613-5,인천광역시 서구 서곶로 527
87,빈정공원,37.5555416,126.6720414,,인천광역시 서구 검암동 681,인천광역시 서구 도요지로202번길 28-3
88,검단2지구 1호근린공원,37.5961609,126.6633081,,인천광역시 서구 마전동 산 164,인천광역시 서구 완정로65번안길 40
89,검단2지구 2호근린공원,37.6031823,126.6640592,,인천광역시 서구 마전동 994,인천광역시 서구 완정로156번안길 35
90,검단1지구 금곡공원,37.6053795,126.6554385,,인천광역시 서구 금곡동 727-8,인천광역시 서구 완정로188번2길 12
91,검단1지구 1호 어린이공원,37.6051075,126.6574502,,인천광역시 서구 마전동 907,인천광역시 서구 완정로188번길 26
92,검단1지구 5호 어린이공원,37.6059872,126.6578525,,인천광역시 서구 마전동 906,인천광역시 서구 완정로188번길 39
93,검단1지구 6호 어린이공원,37.604402,126.6605186,,인천광역시 서구 마전동 1051,인천광역시 서구 검단로511번길 13
94,석남공원,37.5008657,126.6778028,,인천광역시 서구 석남동 560-5,인천광역시 서구 서달로 25
95,종다리공원,37.6013887,126.6541296,,인천광역시 서구 왕길동 641-13,인천광역시 서구 검단로 449
96,왕길새싹공원,37.602855,126.651206,,인천광역시 서구 왕길동 634-2,인천광역시 서구 봉수대로1440번길 19
97,검단2지구 1호 어린이공원,37.5974318,126.6688228,,인천광역시 서구 마전동 999-6,인천광역시 서구 완정로64번길 12
98,검단2지구 2호 어린이공원,37.5952429,126.6693753,,인천광역시 서구 마전동 1106,인천광역시 서구 완정로45번길 3-2
99,검단2지구 3호 어린이공원,37.5958847,126.6732323,,인천광역시 서구 마전동 1007-11,인천광역시 서구 완정로10번길 15
100,금호공원(오류지구 어린이공원),37.5972915,126.6412497,,,인천광역시 서구 단봉로 97
101,불로지구1호 어린이공원,37.6141889,126.6819549,,인천광역시 서구 불로동 766-1,인천광역시 서구 검단로755번길 21
102,불로지구2호 어린이공원,37.6137045,126.6842508,,인천광역시 서구 불로동 773-8,인천광역시 서구 검단로763번안길 5
103,불로지구3호 어린이공원,37.6120302,126.6853666,,인천광역시 서구 불로동 785-10,인천광역시 서구 검단로744번1길 16
104,불로지구4호 어린이공원,37.6105344,126.6858816,,인천광역시 서구 불로동 793-2,인천광역시 서구 검단로744번3길 14
105,불로지구5호 어린이공원,37.6122937,126.6895831,,인천광역시 서구 불로동 803-4,인천광역시 서구 검단로744번3길 46
106,원당지구 1호공원,37.5955489,126.6917825,,인천광역시 서구 원당동 811-2,인천광역시 서구 원당대로839번안길 27
107,원당지구 2호공원,37.5939167,126.698606,,인천광역시 서구 원당동 824-11,인천광역시 서구 고산후로121번길 7
108,원당지구 3호공원,37.5979036,126.7023611,,인천광역시 서구 원당동 849,인천광역시 서구 고산로40번2길 9
109,원당지구 4호 어린이공원,37.5994847,126.6981125,,인천광역시 서구 원당동 805-3,인천광역시 서구 고산후로161번안길 14
110,당하지구 1호공원,37.5913833,126.6737366,,인천광역시 서구 당하동 1097-1,인천광역시 서구 서곶로 840
111,용두공원,37.541132,126.6716766,,인천광역시 서구 심곡동 343-1,인천광역시 서구 심곡로24번길 14
112,갈매공원,37.5527008,126.6847658,,인천광역시 서구 공촌동 304,인천광역시 서구 경명대로683번길 6-7
113,길쌈공원,37.5479246,126.6760004,,인천광역시 서구 연희동 688-6,인천광역시 서구 대평로8번길 8
114,녹성공원,37.5431057,126.6743159,,인천광역시 서구 심곡동 272,인천광역시 서구 승학로236번길 20
115,월촌공원,37.5507274,126.6812468,,인천광역시 서구 연희동 698,인천광역시 서구 간촌로39번길 15-1
116,주자공원,37.5503191,126.6759574,,인천광역시 서구 연희동 685,인천광역시 서구 연희로8번길 11
117,새말공원,37.5413277,126.6754746,,인천광역시 서구 심곡동 260,인천광역시 서구 심곡로56번길 12-1
118,갈마공원,37.5466231,126.6735971,,인천광역시 서구 심곡동 238-5,인천광역시 서구 탁옥로33번길 26
119,간촌공원,37.5493919,126.6785431,,인천광역시 서구 연희동 707,인천광역시 서구 간촌로 13
120,공촌공원,37.5510761,126.6843152,,인천광역시 서구 공촌동 313,인천광역시 서구 경명대로680번길 9
121,절골공원,37.5426548,126.682502,,인천광역시 서구 심곡동 318,인천광역시 서구 심곡로100번길 17-5
122,군도공원,37.5449856,126.6708612,,인천광역시 서구 심곡동 330-3,인천광역시 서구 용두산로 17
123,주마공원,37.5432333,126.6714835,,인천광역시 서구 심곡동 336-2,인천광역시 서구 승학로235번길 9
124,모통공원,37.5422294,126.6789722,,인천광역시 서구 심곡동 301-3,인천광역시 서구 심곡로 83
125,계명공원,37.5499108,126.6721058,,인천광역시 서구 연희동 735-2,인천광역시 서구 연희로42번길 6-1
126,대평공원,37.5491623,126.6702175,,인천광역시 서구 연희동 733-3,인천광역시 서구 승학로333번길 33-15
127,샘내공원,37.5412256,126.6731465,,인천광역시 서구 심곡동 258-6,인천광역시 서구 승학로 212
