시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
경남,통영시,716,3,270,798,67
경남,김해시,2318,32,1043,2277,130
경남,밀양시,532,23,260,432,36
경남,거제시,1011,17,491,974,35
경남,의령군,143,5,81,119,14
경남,함안군,327,17,147,327,20
경남,창녕군,333,7,219,259,22
경남,양산시,1286,25,530,1157,164
경남,고성군,266,10,136,231,16
경남,사천시,668,11,311,634,96
경남,남해군,192,8,130,120,47
경남,하동군,143,11,91,99,15
경남,산청군,173,2,122,146,29
경남,함양군,201,7,114,144,42
경남,거창군,250,15,119,183,18
경남,합천군,184,10,122,116,4
경남,창원시(통합),3245,62,1327,3013,184
제주,제주시,3139,40,815,3370,581
제주,서귀포시,1273,26,519,1305,228
대구,중구,869,11,223,858,244
대구,동구,1954,19,565,2165,245
대구,서구,1317,8,418,1344,196
대구,남구,902,4,262,949,107
대구,북구,2413,22,772,2470,302
대구,수성구,2436,9,660,2704,299
대구,달서구,3679,17,935,3992,454
대구,달성군,966,22,355,972,107
인천,중구,631,6,220,793,49
인천,동구,154,3,44,165,6
인천,미추홀구,1229,17,313,1167,161
인천,부평구,1278,16,326,1336,47
인천,남동구,1937,23,510,2118,119
인천,서구,1688,20,493,1854,59
인천,연수구,670,10,187,738,30
인천,계양구,879,10,240,905,45
인천,강화군,200,10,81,195,2
인천,옹진군,32,3,20,29,6
광주,동구,604,6,137,765,31
광주,서구,2106,7,306,3000,135
광주,북구,2430,15,448,3190,163
광주,광산구,2129,15,392,2973,166
광주,남구,900,6,163,1161,46
대전,동구,1430,14,332,1782,48
대전,중구,1348,12,377,1554,91
대전,서구,2677,23,599,3309,188
대전,유성구,2027,14,464,2485,212
대전,대덕구,855,14,211,953,44
울산,중구,737,5,252,722,102
울산,남구,1383,9,491,1299,135
울산,동구,628,1,211,588,18
울산,북구,693,13,282,731,97
울산,울주군,906,27,350,899,124
세종,세종시,922,15,382,893,26
